FECHA_ANOTACION;VALOR;DESTINO_ECONOMICO;AREA_TERRENO;AREA_CONSTRUIDA;AVALUO; HAB; BAÑOS; LOCAL; PISOS;MAX_PUNT;POINT_X;POINT_Y;Latitud;Longitud;Latitud.1;Longitud.1;UTM waypoint Garmin;DISTANCIA - CBD (San Pio) metros;Estrato/Hacienda
2021-11-23 00:00:00;232820963;A;000000000011;000052;110295000;0;0;0;9;75;1372729.8797;10794300.4557;7.118322405749484;-73.12082552481195;"-7º -7' -5,961"" S";"73º 7' 14,972"" W";17 N 1372730 10794300;1147.65031936;4
2022-03-23 00:00:00;249101562;A;000000000012;000056;120060000;0;0;0;9;75;1372742.8507;10794300.2403;7.118318482556002;-73.12070920766106;"-7º -7' -5,947"" S";"73º 7' 14,553"" W";17 N 1372743 10794300;1134.70157376;4
2021-11-09 00:00:00;250691684;A;000000000011;000057;120880000;0;0;0;10;75;1372739.3591;10794308.1251;7.118389666592844;-73.12073931433953;"-7º -7' -6,203"" S";"73º 7' 14,662"" W";17 N 1372739 10794308;1137.86623867;4
2021-11-22 00:00:00;229472798;A;000000000011;000054;115901000;0;0;0;10;75;1372726.6498;10794308.2874;7.118393073810032;-73.12085329222771;"-7º -7' -6,215"" S";"73º 7' 15,072"" W";17 N 1372727 10794308;1150.56064901;4
2021-12-14 00:00:00;229515741;A;000000000012;000052;112717000;0;0;0;10;75;1372730.0798;10794300.6827;7.118324408912125;-73.12082369498458;"-7º -7' -5,968"" S";"73º 7' 14,965"" W";17 N 1372730 10794301;1147.44046161;4
2022-10-03 00:00:00;368214300;A;000000000013;000066;140866000;0;0;0;10;75;1372745.4812;10794292.685;7.118250383156683;-73.12068677438073;"-7º -7' -5,701"" S";"73º 7' 14,472"" W";17 N 1372745 10794293;1132.43674504;4
2022-02-15 00:00:00;234906119;A;000000000011;000057;120880000;0;0;0;11;75;1372739.3591;10794308.1251;7.118389666592844;-73.12073931433953;"-7º -7' -6,203"" S";"73º 7' 14,662"" W";17 N 1372739 10794308;1137.86623867;4
2022-12-16 00:00:00;344223000;A;000000000013;000065;139235000;0;0;0;11;75;1372724.3334;10794316.0263;7.1184627700178496;-73.12087287979004;"-7º -7' -6,466"" S";"73º 7' 15,142"" W";17 N 1372724 10794316;1152.61556977;4
2021-12-29 00:00:00;275581804;A;000000000011;000054;115901000;0;0;0;11;75;1372726.6498;10794308.2874;7.118393073810032;-73.12085329222771;"-7º -7' -6,215"" S";"73º 7' 15,072"" W";17 N 1372727 10794308;1150.56064901;4
2022-01-04 00:00:00;250989697;A;000000000012;000059;126362000;0;0;0;11;75;1372742.8673;10794300.234;7.118318423557362;-73.12070905972782;"-7º -7' -5,946"" S";"73º 7' 14,553"" W";17 N 1372743 10794300;1134.68527142;4
2022-08-02 00:00:00;336921300;A;000000000013;000066;140271000;0;0;0;12;75;1372739.6399;10794308.913;7.1183966829946135;-73.12073667433442;"-7º -7' -6,228"" S";"73º 7' 14,652"" W";17 N 1372740 10794309;1137.55630431;4
2021-12-07 00:00:00;303236478;A;000000000015;000072;153795000;0;0;0;12;75;1372734.6926;10794319.7875;7.118494878331475;-73.1207793787176;"-7º -7' -6,582"" S";"73º 7' 14,806"" W";17 N 1372735 10794320;1142.15260374;4
2021-12-14 00:00:00;302817667;A;000000000015;000072;153163000;0;0;0;12;75;1372723.8985;10794316.0615;7.118463152238843;-73.1208767754438;"-7º -7' -6,467"" S";"73º 7' 15,156"" W";17 N 1372724 10794316;1153.04920794;4
2022-05-03 00:00:00;209924865;A;000000000011;000055;117020000;0;0;0;12;75;1372729.8675;10794300.4772;7.118322600263374;-73.12082563093861;"-7º -7' -5,961"" S";"73º 7' 14,972"" W";17 N 1372730 10794300;1147.66156335;4
2022-08-26 00:00:00;227278992;A;000000000011;000054;115901000;0;0;0;13;75;1372726.6378;10794308.3088;7.118393267397233;-73.12085339657577;"-7º -7' -6,216"" S";"73º 7' 15,072"" W";17 N 1372727 10794308;1150.57184898;4
2021-12-29 00:00:00;241294025;A;000000000011;000055;117020000;0;0;0;13;75;1372729.8675;10794300.4772;7.118322600263374;-73.12082563093861;"-7º -7' -5,961"" S";"73º 7' 14,972"" W";17 N 1372730 10794300;1147.66156335;4
2022-10-03 00:00:00;274856850;A;000000000013;000065;137813000;0;0;0;13;75;1372735.6397;10794288.558;7.118214917708674;-73.12077568786215;"-7º -7' -5,574"" S";"73º 7' 14,792"" W";17 N 1372736 10794289;1142.48301315;4
2021-12-30 00:00:00;241416107;A;000000000011;000057;120880000;0;0;0;14;75;1372739.6519;10794308.8915;7.118396488511444;-73.12073657000184;"-7º -7' -6,227"" S";"73º 7' 14,652"" W";17 N 1372740 10794309;1137.54510568;4
